model,metallic,split
sketchfab__db__db9769be68464f3f98c28abbb13d447d,5,train
sketchfab__db__db98f1161132462e891b574b9ec21502_3,5,train
sketchfab__dc__dc13689260b44caf987d0c6199de07c4_1,0,test
sketchfab__dc__dc721c5e24c343a68a10fa9b0a2e1b50_3,0,train
sketchfab__dd__dd4a4f7329dd4d06b30f1f030f6a15fa_1,5,train
sketchfab__de__debb460fc186452faaefcd6679bbd849_huawei-p9-plus-for-element-3d,1,train
sketchfab__de__dede0ecad5e94c89af4e9743d00da9e6_None,5,val
sketchfab__df__df0bc9eb9bcf45cdbd203c952b799371,5,train
sketchfab__e0__e043f7f7aad14d35997056b6dec575b9,4,test
sketchfab__e0__e052d584d3014f26916a047d268c8430,0,train
sketchfab__e0__e0c0e85956b44ee693f3cfb8bb3f53fe,0,val
sketchfab__e0__e0f0b78bcb5e4e26b3dce593f9d39b08_None,5,train
sketchfab__e2__e2d00571476e4af1987c5d2044d48fb1,1,train
sketchfab__e3__e395db1f0cbb4fbdb34dca30ee8ac9a3,5,train
sketchfab__e4__e425320ca61546b2bf8f8049990be5c4_spider-man-black-suit-venom-symbiote,5,test
sketchfab__e4__e469e5c76bfe4513a0866ef46092effd_None,4,train
sketchfab__e5__e532d946586a469a96fdf42fafe41d3f,1,test
sketchfab__e6__e68f2759d2784c6cbdc96bda13cfb695,5,train
sketchfab__e8__e811441c40194cc29b2e9f4bc455f711_None,1,train
sketchfab__e9__e96768eeeb8f4ba5b7439dba8b17f9f4_sci-fi-game-asset,1,train
sketchfab__e9__e9ad2225ddd54372ada99d00e8054a6a,5,val
sketchfab__ea__ea6e1fb4b0e24561824ee3d81b44fcc8,5,test
sketchfab__ea__eaa1035d0f94453bb22b1cd3f638c393_3,0,train
sketchfab__ea__eaf9aa6cebc94728b733ee336c3e1006_None,0,train
sketchfab__eb__eb3bf514ab4647a19ff0f57b2e23a8e1,0,train
sketchfab__eb__eb77eccd60d44c99839bfba19bf2663d,4,val
sketchfab__eb__eb9675abf3594d17b9a3d3729844c3c1,5,test
sketchfab__eb__eb96d5bc7b6345ee9bbd053ce06ba489,5,test
sketchfab__ec__ec8c2df2c05a400aab5df18bdaac4526,0,val
sketchfab__ec__ecb5141a19c0481e9cca3880fe63b629_3,4,train
sketchfab__ec__ecc2f4acba384995a98573ad92677c66_ratatouille-cake,5,train
sketchfab__ec__ecd9077c0f9d4984a2f9ef72e39c2234,5,train
sketchfab__ed__ed07176730a94d519f1ef724f2405dd6,5,train
sketchfab__ed__ed0fe862d8374870a739f8d349548388_None,3,train
sketchfab__ed__ed48c6224a42407e8ccb39c6efd92a87,2,test
sketchfab__ed__edd6090369ce47e895d803b9783a0df9,5,train
sketchfab__ed__ede3567555bf4051840a3c03b5e5966b,4,test
sketchfab__ee__ee40d3ac9f3e4fc5adec0c52ba71c816,0,train
sketchfab__ee__ee638a945f60448ab21b44055b543460,4,test
sketchfab__ee__ee91ffdc648b4bd28f62d598962e1612_guardian-lion-statue_None,5,train
sketchfab__ee__eece51fc5cc643d7810759544486fc69,5,val
sketchfab__ef__ef654f4f567a406f90794071e27cd7a8,3,train
sketchfab__ef__ef775e8b77924942bef50c77adaba6dd_character191-pug,5,train
sketchfab__ef__ef8cd474287e4b69be2c0d24a9df5af0,5,train
sketchfab__f0__f0f555d91b6e4bfab788bf31c84ec166,0,test
sketchfab__f1__f1b31661332a47eca95a41998944fb71_7,3,val
sketchfab__f2__f20bcddadb70439d8f06b9cec29c9a8d,1,train
sketchfab__f2__f2c130275de344909ae184d18546c4e1,5,train
sketchfab__f2__f2f7b1507e3c4751be7709c1245fedc6,5,test
sketchfab__f3__f3d95d69401945fda7a355679868f169_2,2,test
sketchfab__f3__f3dd376bffb44f0f9e7c438acb389037_5,5,train
sketchfab__f5__f5101b8b3358427fa569b7e74997b16c,4,train
sketchfab__f5__f5a80fdbfaf74a9aacd96be39485f617,5,val
sketchfab__f5__f5acbd25d07f4f1d85008c1f7bf2fe94_2,3,train
sketchfab__f5__f5c7736c17124431b70d5b1bef7fa465_1,0,val
sketchfab__f6__f60b0b9851d24225b75bb04645672b14,1,val
sketchfab__f6__f60d181522b944fca9af80e214721902,3,test
sketchfab__f6__f69c76d476ba47edad6e8c607ba6939a_None,4,val
sketchfab__f6__f6b74fbf7e7e4303b1db25a9dda43f20_2,1,train
sketchfab__f7__f73c931c0cce4f33bdddfdd7249c1379_2,3,train
sketchfab__f7__f771d0a9dac14486bb8d61a5b6eb9ecf,0,val
sketchfab__f7__f77d1b53b75f4dbc9df73d48bc996711,3,val
sketchfab__f8__f81bc3ce9aa24841a8e34f2604b7a090_2,5,train
sketchfab__f8__f8e72cf5392e4be1a72915023ae1b674_None,0,train
sketchfab__f9__f9f020aa5dce4818ac619080ddfb1d72_None,0,train
sketchfab__f9__f9fcbac205844297bc04ae6ba07e303a_scifi-turrets-set-5-auto-mortar_2,1,test
sketchfab__fa__fa2f96b218d34c1d98c5cd789686ebc3,5,train
sketchfab__fa__fab9a8cdacab43f88b826db925bf7d49,4,train
sketchfab__fa__fade3c2eb64b44b3b2fcb8632d0d8885_4,3,train
sketchfab__fb__fbff041e190944c0a1027aa81d866fd8_7,4,train
sketchfab__fc__fc13bd95e3514bd8ac47bf6d03cba006,5,train
sketchfab__fc__fcffba9cf4fb48ba9eaba853d079debd,5,train
sketchfab__fd__fdad53b66e394b228bdc947576805985,5,train
sketchfab__fd__fdaea93416f14d4fb9dd8392e6e5b512_2,3,train
sketchfab__fd__fddad15d2d284ecdba126d524ae4188a,5,train
sketchfab__fe__fe736b08b14547638d9432fedeab681d,0,train
sketchfab__fe__fe9afaa180734ca3b7a74c56c69946ff_None,0,train
sketchfab__fe__feefc20ac5bf4c71bbf3ea8bbdda3332,0,train
sketchfab__fe__fef45c59e5d94219ac832004b087d4bb,5,train
sketchfab__ff__ff5db1d1b254436dbc08b35488d4a181,0,test
sketchfab__ff__ffbeab1fe3284fea896dd197518e095f,0,train
sketchfab__ff__ffca4a992a87499393d3e36748e17b41,4,train
unreal__00c95d74c33e1060721e573b0a6eb908fe551ed9831df0f58e0857beae8d58db,4,test
unreal__0bf960f2ee66bd735074e0863a11b4232258d3f632420a57d88f5dee8688b515,5,train
unreal__0c34f4ce3c0d0109af5162204ff13d03d37d288f055812f58a920f5d9b16944d,0,train
unreal__0fcdf97371e0a3c23c9e413118935c61c405ac1cd5f5296af8cbeebb833d720d,0,train
unreal__17be840940de0fce87db55d132c486972b8a852a6923650314d030fa7eb0f709,0,train
unreal__1ca09228e0cff17f52785a430c7182ca86a4bbef3d5f8c21d7eb962e3811f87c,0,test
unreal__20db8e9a23db05e2161f763222af4091f62d8df1898360517c42d6d00ec4e372,0,train
unreal__22185548cd4b5dc3456805a3f5a6d139dbfbc763deb3420037907774667922c5,0,train
unreal__246a898b2cddd2ab063ccc91081014f781568cd75b0a3dc43dfd4a3286ff386e,0,val
unreal__26a3959ceb5358b8fe8769dc11f36077a19ad35d2609fe9916c5098f5420e4e5,0,train
unreal__347cb40c24805ea78bfffade9fb3ea3baf1fe17d1c7f73a86c2c51bfc9ac034f,3,test
unreal__38fd24c22d6b0484a6bad99a37fc319627182eaed91b31011e66b753c1761418,0,train
unreal__3e2b727d29c33b9176ddfb727fc97ca8e4f6f051f556180a1067fff48affc460,0,train
unreal__3e67c9b3b23d6ed376d0b0495ee5d20808eb312c9c6c714e0b6ca8c647578fb8,0,train
unreal__3e7a1973837e3221bc1c919b06760a67261e8a884208d3070f28d7f8f910f85c,5,train
unreal__3f1c36a697407411164c461bc11d062209908c75204fdfece446fe3c9f3bf216,0,train
unreal__4071cb33814332a8f5b78d3c8d4acb4a446ed239f03287ee96527379cffe5de1,0,train
unreal__43881d1cfc3fed041bd9dde2534d338a4954e4d8d3d13f9783e43d4a0876db1a,3,train
unreal__4a4283413c318608e4e15834b9d911dd5fb247b02f654db40349f22eee6a1e74,0,val
unreal__5137218905b9e1bdbf8dcf1174353ae90365b0e91dc6a65a5af45fb83c229b4a,0,train
unreal__529ac5933f72a38452558eb2252f58c480aaa2e830e02d91518f6818ebae1e72,0,train
unreal__554a5e32815cd2061eecf3b86d679e533daf9c36a953fd3ad00a7dfac024f4cc,0,train
unreal__5638f74211216d5c34f1cd1fcf7e8dbfeae602d793382e856fb0c192704d5a5a,0,train
unreal__56631af8612b2d42ebc809a10debad956175a2b978e109b70ead1cbcc3c34f46,0,train
unreal__5b9310c36f18ae83dfb0297abc8734cf05a6882ff33cb17af102638ab220c4e9,1,train
unreal__5e87de252e7e851ab021f6f8b5973424c57737144e5039d2a5a26e2b36ec2ce5,0,train
unreal__61912b275ffaa61c696b7556259e59d69fde51490cc278656003f57ca29a248c,0,train
unreal__619759fb46568e94aeb6392c7a7f9bff956e5c1af19198df14cf243042637d8a,0,train
unreal__64ff4683cc927ecf66a99a30a55c6655cfaac9d551ee5ebc4dba20499661749f,0,train
unreal__68bbda11014bf6e1106e932996b49eae3c55b7de6a2c4f1a625f09cb8f32aae5,0,train
unreal__6a5f44084ba8b44bf2dbe827dcae7cd9811edef94b26abe473e5875b4e0e0c4b,0,train
unreal__6f85c093d3f39c0e92b5d2cba53835fbeae7571ed5cc15ddc93e9856f3414a54,0,train
unreal__72478fd4e84d432c0151e613c56d1d3756a3ccfaf47ed284d56f859e61658137,0,train
unreal__798130b304a1fdd19dfb167616be6e93fd904f60703a0416c113faf9315e1a97,0,train
unreal__7d6b5695ccf22636e13baef571517a773556ed6f04a8068bc485b3cac83d37c7,0,train
unreal__869f39abd1f2182ad49b5014ae4254492d64aa26e61d550794fc0689b10bee0c,0,test
unreal__87c50ec1bf09a4fabb645557a8403d31aebea43a65eaf8cf48e32808499e5efc,0,val
unreal__8ba3a7eb9cbcc9713691f5582c7863f72aecf65759d40c0b36597b9f9ebaa6f0,0,train
unreal__90e69df5cec4350f7a600828317558aff716bc3353683604b870453857c0f507,0,train
unreal__9594c1219b537ad0fea079bae508ebdc61903dcf976c971279e6629556e73b7f,4,val
unreal__9f342a43200dac9b37922d6c265316e227bc06c8200e9f059e05689b60807c6c,5,train
unreal__a0b709ef9dc1cc25a23a6a8e10e9eb3bcbcde54cacf6db7f9f99b970b0cb9f17,4,train
unreal__a3e75a17e399add2ee884ff379f0ec53a15e9fb85152d0d7c5da0f75b79a22f1,0,test
unreal__b0cdbc55d2bd04ef7560e397d6949d055efbda549bb45cb999a44fe4b7377d53,0,val
unreal__b331d985d70e01eb15626ad15fd18c3e91aa379d77735ccb37d6c098583d804f,0,val
unreal__b6c3a9db2c67ea1c063472adb20986f8bb3e23c626da3ff2fa9902ef076e8ffb,0,val
unreal__c3bd71e7a93f5312d5198418eb468aba7d9888e273d0604c3fe7b866e907c30b,0,val
unreal__c60d9cc6eeeed644f54dacfb786a37d94e45838af0d39ece3a465d5954a82eb5,0,train
unreal__cb36d3e49897d39a7b1fb05f9ddea8c5cee5a61720d49252b146f7152ce9e12f,0,val
unreal__cbabb70dbc943e651eb1f2684e41e84e0017eecf09bc4e0756965f621c7b3500,0,test
unreal__cedd5b070689c0a1dc362d2b2dbda68e7fe82f19795833b288e98130d8713a56,1,test
unreal__cf91138c6a7d827816914f74ca538c7a5b3eb13ab8b97f1ecf8269192e7c21d3,0,train
unreal__cfbde855d0de11d8e4988c470c1ecda9636c45d6d1de8b16aa8ede09e3060db7,0,train
unreal__d56107b779a01880abe1dd3d4bdefffadfb606154a30465a2d798881c51e5e41,3,train
unreal__d999a55dc17d20828445918b3bf49c79491c81a4ae46d0d2df1b7f260b2a4145,0,train
unreal__dbb930125bbd3a82e74db4357e2307771f6725967cf64f4e73a128d0d510b073,0,train
unreal__e1251e56e63a40122868977b4d4fb3cdbb5c4ced65e6f69617a3be9318284caa,0,val
unreal__e273ea884a0c527dfcb7254bd3ebf89b0c3fd87db02b6bf2491913e47a6ceb17,0,test
unreal__e43155bcc2d9c7cbd410b12e895c3dbf6afc4fb397298b4449d80830b6fbee3e,0,test
unreal__e4349d1ce8d527b6d613623fe7301adaa7c0632eb8fa0511d6a5fe598d230e63,0,val
unreal__e93b3acb32c200271e8aee1b0204957b4a1174d155acd2ba868ce1d166fa07c1,0,train
unreal__eb5093930131b739d01e350f6b6a264277405c600d80d69fa3c93acbae91f35f,0,train
unreal__ed2b555b21d1a1a36ee803fe09f124ea8b7acca4f632cc086eaba6813d369d01,0,train
unreal__ee956c619f0734c64b0c8a14accc3e10f7d8afaade79bd69e33c6b5bf3535cf1,4,train
unreal__f520db3cb994b9140ff7bd10b40a6e2975c2699b6d6c7db17a938a111d4ce952,0,train
unreal__f8fcff34885f18c48d5c221873e652e5544bdbb12c780ab765f106ac365babf6,5,test
unreal__ffc742a4acf7e30037e0f52e856cfb4dffe076a053b681c72ba545b8c311102a,0,test
unreal__ffeaca08793b425e97fba785f6895247cd0bc48e7881633d68b1652957115097,0,val
vroidhub__5__5380508135039911625_T_pose,0,train
3d66__1__100080_沙发,5,train
3d66__1__101003_桌子,3,train
3d66__1__101040_台灯,3,train
3d66__1__102139_桌子,0,val
3d66__1__102498_台灯2,1,train
3d66__1__102787_篮子-76,0,train
3d66__1__102821_台灯-1,3,train
3d66__1__103015_壁灯1,2,train
3d66__1__104069_相框,0,train
3d66__1__104080_沙发,0,train
3d66__1__104183_伞,3,train
3d66__1__104434_椅子,0,test
3d66__1__105161_置物架2,2,test
3d66__1__105394_沙发1,3,train
3d66__1__106048_铅笔_None,1,test
3d66__1__106242_床,5,train
3d66__1__106709_单人沙发,5,test
3d66__1__106711_自行车_None,0,train
3d66__1__107109_收纳盒,0,train
3d66__1__108366_冰箱3,3,train
3d66__1__10838_蛋糕02,5,test
3d66__1__11082_摆件_02,5,test
3d66__1__11463_机柜01,2,val
3d66__1__12085_油漆桶04,5,train
3d66__1__13185_锅04,3,train
3d66__1__13363_吊灯3,3,train
3d66__1__14344_沙发椅,0,train
3d66__1__15005_设备3,0,train
3d66__1__15752_创意玻璃椅子01,5,train
3d66__1__15881_靠椅1,5,train
3d66__1__17681_零件4_None,2,test
3d66__1__18802_闹钟_02,5,val
3d66__2__20222_Group-14821302-34-422,0,val
3d66__2__20320_防御塔,5,train
3d66__2__21105_茶几_005,5,train
3d66__2__21112_床_01,5,val
3d66__2__21267_书_01_None,5,train
3d66__2__21486_灯01,1,val
3d66__2__21775_摆件02,1,train
3d66__2__21921_椅子,5,test
3d66__2__21934_书_02_3,5,train
3d66__2__22132_沙发_01_None,5,test
3d66__2__23429_洗手台01,0,train
3d66__2__23433_电脑01_None,2,test
3d66__2__24436_铅笔_None,1,train
3d66__2__24597_柜子_01,5,test
3d66__2__24679_摆件01_None,2,train
3d66__2__25351_沙发01,0,train
3d66__2__25880_椅子1,5,val
3d66__2__26062_角色01,0,train
3d66__2__29138_人物_05,5,train
3d66__2__29160_墙饰16,5,train
3d66__2__29310_床_01,0,train
3d66__2__29520_椅子_None,0,train
3d66__2__29777_衣服_02,0,train
3d66__3__30435_摆件_47,5,train
3d66__3__30531_挂灯_10,3,train
3d66__3__30546_沙发_02,3,test
3d66__3__30549_果盘,5,train
3d66__3__30956_服饰_01_None,1,train
3d66__3__31192_床_02,5,train
3d66__3__3160_洗发膏001,5,train
3d66__3__3160_洗衣池002,1,test
3d66__3__31999_托盘_02,3,train
3d66__3__32223_雕塑01,1,test
3d66__3__33528_枪,1,train
3d66__3__33989_衣服_01,3,test
3d66__3__36236_摆件_03,5,train
3d66__3__362_雕塑002,5,train
3d66__3__3642_试验台01,5,train
3d66__3__36451_手提包_065_None,3,train
3d66__3__3691_望远镜_None,3,train
3d66__3__38083_猫舍_02,0,train
3d66__3__38658_手办13,0,train
3d66__3__38897_手办02,0,train
3d66__4__4336_望远镜,0,test
3d66__4__43622_果盘01,0,train
3d66__4__44299_ChenZc-1120-794_5,3,val
3d66__4__46968_化妆品13_,5,train
3d66__5__5100_茶壶01,2,train
3d66__5__52460_书籍02,3,train
3d66__5__52719_包01_None,3,train
3d66__5__52795_门01,3,train
3d66__5__52925_吧椅01_None,1,val
3d66__5__54319_台灯01_None,1,test
3d66__5__54475_饰品摆件12_None,5,train
3d66__5__54784_玩具03_None,3,val
3d66__5__5480_书籍01_10,5,train
3d66__5__54880_装饰品_03,5,val
3d66__5__54885_花瓶01,0,train
3d66__5__55351_衣服_07,3,test
3d66__5__55716_单椅01,5,train
3d66__5__56357_灯4,5,train
3d66__5__56389_鞋02,0,train
3d66__5__5699_落地灯01,3,train
3d66__5__57199_护肤品001_None,5,train
3d66__5__58253_茶杯2,5,train
3d66__5__58993_电脑,3,train
3d66__5__59134_桌子1,3,test
3d66__5__59557_椅子002_1,0,train
3d66__5__59887_椅子,3,train
3d66__6__60041_吊灯,2,val
3d66__6__61474_椅子006,5,test
3d66__6__61506_组006,5,train
3d66__6__62931_床1,0,val
3d66__6__6296_桌子6,3,train
3d66__6__63210_酒柜----36,5,train
3d66__6__63367_杯子001,0,val
3d66__6__64146_桌子001,5,val
3d66__6__65398_茶几_1,3,train
3d66__6__65449_厨房用具018,5,val
3d66__6__65757_椅子002,1,train
3d66__6__65853_柜子,0,train
3d66__6__65955_凳子016_None,5,train
3d66__6__66895_书架002,0,val
3d66__6__67489_雕塑1,5,train
3d66__6__68167_灯003_None,1,train
3d66__6__69395_鞋柜9_None,0,train
3d66__7__72605_收纳袋,5,test
3d66__7__72821_蜘蛛侠,5,train
3d66__7__72855_玩偶006_None,5,train
3d66__7__73660_玩具041,5,train
3d66__7__73765_床,0,train
3d66__7__74696_酒004,5,train
3d66__7__76279_灯004,5,train
3d66__7__77139_凳子1,5,test
3d66__7__78637_椅子007_None,5,train
3d66__7__79069_椅子003,0,val
3d66__7__79201_柜子2_None,5,train
3d66__7__79871_落地灯,3,test
3d66__8__80163_床,0,val
3d66__8__80561_筐子004_,5,val
3d66__8__81311_凳子2,5,train
3d66__8__82094_凳子_None,5,test
3d66__8__82780_灯3,3,train
3d66__8__8305_书籍12_None,0,train
3d66__8__83377_凳子1,0,train
3d66__8__83396_鞋子023_None,0,train
3d66__8__84402_吊灯002,1,train
3d66__8__85049_刷子003_None,5,train
3d66__8__85319_柜子1,0,val
3d66__8__8624_交通工具01_None,2,val
3d66__8__86488_台灯002,5,test
3d66__8__86625_桌子002,3,train
3d66__8__86748_灯013,1,train
3d66__8__88447_椅子_None,5,test
3d66__8__88832_橱柜1,0,test
3d66__8__88966_衣服041,0,val
3d66__8__89756_柜子,1,train
3d66__9__90556_落地灯1_None,2,train
3d66__9__90697_凳子1,3,train
3d66__9__91196_组005,1,train
3d66__9__92456_床,0,train
3d66__9__94659_沙发_None,0,val
3d66__9__94872_椅子,1,train
3d66__9__95162_装饰2,5,train
3d66__9__96592_灯_1,0,train
3d66__9__96707_椅子_None,1,train
3d66__9__97186_椅子-1,5,train
3d66__9__97401_碗2,0,train
3d66__9__97997_榻榻米床,0,train
3d66__9__98303_T恤3,5,train
3d66__9__99224_黑板_None,5,train
3d66__9__99493_水果盘1_None,5,train
3d66__9__99966_烛台,5,train
abo__3__B07B4G5ZL3,0,train
abo__4__B073NZSG24,0,train
abo__4__B07HSKY884,1,val
abo__4__B07QSBZLW4,2,val
abo__4__B07TYTPQ34,5,train
abo__8__B07TYTPPX8,0,train
abo__B__B0732JLK9B,5,train
abo__C__B07DBGPV4C,1,val
abo__C__B07HSL882C,5,train
abo__H__B07B79GMHH,5,train
abo__M__B07B4G612M,3,test
abo__N__B07DBF3WWN,5,train
abo__R__B07BWMSP1R,0,train
abo__S__B07DBDT6ZS,3,train
abo__S__B07QBMQC8S,5,train
abo__T__B075YP4WYT,3,train
abo__V__B074DYLY5V,3,train
abo__W__B074KLRCPW,1,test
abo__W__B075YLSBHW,5,train
abo__X__B07B4ZFD2X,5,train
abo__Z__B07QDL43KZ,5,train
games__APEX__car_lgnd_v21_retromodern_w_LOD0_None,0,train
games__Aircraft_Carrier_Survival__49_Landmark_CaravanIsland_RealDeal_956_2_None,0,train
games__Aircraft_Carrier_Survival__54_Landmark_VarunaPoint__323_None,5,train
games__Asterigos_Curse_Of_The_Stars__1747_merged_0_1_outerRimA_bridge_e01_mesh_with_tex_None,5,test
games__Asterigos_Curse_Of_The_Stars__305_civilian_theatre_pillar_m01_mesh_with_tex,0,train
games__Asterigos_Curse_Of_The_Stars__588_civilian_temple_decor_b01_mesh_with_tex,0,train
games__Atomic_Heart__428_SM_4x8_Round_window_with_tex_None,2,train
games__Bloody_Spell__106_ZZ02_ZhuTai01 (1)_None,5,test
games__Counter_Strike_2__animal_bottle_None,4,val
games__Counter_Strike_2__barn_foundation_loose_rock_01,5,test
games__Counter_Strike_2__brk_lf_001_debcvr_023_None,0,train
games__Counter_Strike_2__car_sedan_a03_body_None,4,train
games__Counter_Strike_2__combine_walkway_plugrailing_None,2,val
games__Counter_Strike_2__girder_cross_beams_64_16_10_None,4,train
games__Counter_Strike_2__ilk01_lamp_02_base_None,3,train
games__Counter_Strike_2__lamp_ver1_None_None,1,test
games__Counter_Strike_2__street_electrical_box_1,0,train
games__Counter_Strike_2__tank_3,5,train
games__Counter_Strike_2__train_tracks_crossing_signal_01_base_None,0,train
games__DD2__13_gm81_114_meteor_00mesh_2,5,train
games__DD2__Copy #1 of 13_ch50_000_01mesh_None,5,test
games__DD2__helm_602_mmesh_None,5,train
games__DD2__sm51_638_00mesh_None,5,val
games__DD2__sm81_046_00mesh_None,0,train
games__Darksiders_Genesis__443_Dn_SerpentHole_A_None,0,train
games__Deadlock__background_building01a_None,0,test
games__Deadlock__classic_truck_01_None,0,train
games__Devil_May_Cry_5__sm0057_electronicbillboard02_02mesh_None,0,train
games__Devil_May_Cry_5__sm0418_qliphothbridgea_bmesh_None,1,val
games__Devil_May_Cry_5__sm0637_rubbleh_02mesh_None,5,train
games__Dota_2__Rampage_Knight_3,0,test
games__Dota_2__forest_hermit_equipment_set_None,0,train
games__Half_Life_Alyx__rainpipe01_funnel01a,0,train
games__Layers_Of_Fear_3__1191_sm_en_MusicBoxCarousel_01_01_with_tex,5,val
games__Life_Is_Strange_Remastered__1637_ST_Furn_BedStandard02_None,5,test
games__Life_Is_Strange_Remastered__1701_ST_Acc_Brick01_None,5,train
games__Life_Is_Strange_Remastered__2175_E4_7A_Junkyard_LD_Insertion_A_2899_Max_None,5,train
games__Lightyear_Frontier__449_SM_Rubble_Preset_02_with_tex_None_1,0,train
games__Martha_Is_Dead__801_SM_tiger_None,4,train
games__Monster_Hunter_Rise__B_Bow038mesh_LOD0_None,1,val
games__Monster_Hunter_Rise__ems016_00mesh_LOD0_None,1,val
games__Monster_Hunter_Rise__m_combined_224_None,0,test
games__Monster_Hunter_Rise__m_combined_423,0,train
games__Monster_Hunter_Rise__ota_combined_003_1,0,train
games__Monster_Hunter_Rise__ota_item044mesh_LOD0,5,train
games__Monster_Hunter_Rise__otd_combined_017_2,5,train
games__Monster_Hunter_Rise__otd_combined_036_1,1,train
games__Monster_Hunter_Rise__sm054_001_00mesh_LOD0_None,1,train
games__Monster_Hunter_Rise__sm823_006_00mesh_LOD0_None,1,test
games__PUBG__087_SK_Rubber_boat_2,2,train
games__Resident_Evil_2__ac0017mesh_None_20,0,train
games__Resident_Evil_2__sm12_003_ZombieCorpses_00msmesh_2,0,train
games__Resident_Evil_2__sm30_176_HandTruck01A_00msmesh_1,0,val
games__Resident_Evil_2__sm42_204_ChestDrawer01A_01mdmesh_None,0,train
games__Resident_Evil_2__sm45_027_DeadResearcher_Geometorymesh_None,0,train
games__Resident_Evil_3__071_sm36_017_winebottle02a_00msmesh,0,train
games__Resident_Evil_3__1864_sm41_410_es_toolbox01a_00mdmesh_None,0,train
games__Resident_Evil_3__1962_sm35_013_walllight01a_00msmesh_None,1,train
games__Resident_Evil_3__1976_sm35_402_es_ceilingfans01a_00mdmesh_None,4,test
games__Resident_Evil_3__318_sm39_472_es_hospitallobby01a_00msmesh_1,0,train
games__Resident_Evil_3__382_sm36_031_penholder01a_00msmesh_5,0,test
games__Resident_Evil_7_Biohazard__1291_c03_oldhouse2fhallway01mesh_None,0,train
games__Resident_Evil_7_Biohazard__455_sm0252_breaker01amesh_1,3,train
games__Resident_Evil_7_Biohazard__462_sm9351_brokensteelframe01amesh_None,5,train
games__Resident_Evil_Village__1266_sm83_221_breakwooda_00mesh_None,0,train
games__Resident_Evil_Village__1970_sm59_106_cottonstick_00mesh_1,0,val
games__Resident_Evil_Village__2968_sm27_049_newstablec_out_00mesh_None,0,test
games__Resident_Evil_Village__502_sm40_023_hatlight_00mesh_None,1,train
games__Resident_Evil_Village__565_sm30_050_deskd_01mesh_None,0,train
games__SUSHI_SOUL_UNIVERSE__375_SC_SM_Store04,0,train
games__Street_Fighter_6__1570_sm32_078_ball_01mesh_None,0,train
games__Street_Fighter_6__2091_sm66_080_ceilingstructure_00mesh_1,1,test
games__The_Lord_Of_The_Rings_Return_To_Moria__829_Orc_Palissade_Barricade_Small_A_4,0,train
games__Warhammer_40K_Rogue_Trader__1122_Character.animator_950_None,0,val
games__Warhammer_40K_Rogue_Trader__1519_Character.animator_476_None,0,test
games__Warhammer_40K_Rogue_Trader__1635_Character.animator_155_None,0,train
games__Warhammer_40K_Rogue_Trader__1766_Character.animator_499_None,0,train
games__Warhammer_40K_Rogue_Trader__2112_Character.animator_628_None,0,val
games__Warhammer_40K_Rogue_Trader__866_Character.animator_303_None,0,train
games__Wasteland_3__PFX_BrokenValve_Ambush_4_2,1,train
games__Wasteland_3__Ranger_Male_173_None,0,train
games__Wasteland_3__Ranger_Male_368_None,0,test
hssd__6cd03ee5aaba5138a4dfaeb1183bd4293d5c323a,0,train
hssd__9e9ffa4a9f606d32f39561333dc21f5070decd5d,1,train
hssd__d8c37d9a81407ce46553e80c7d0b1ef07a743c26,1,train
kitbash__03b17440ba2e67886974c334f8957e9d87aa8c58d75c15967ee381f4ce68a378,1,train
kitbash__34e4f05365a98dfe6b9e3cbcef631966e85738ebcbf2ffe9f4145eac79b6f947,0,test
kitbash__5079bb01a2c5b421bf40b3788b8a022e1fa27165d97542537b884ec9ad3f1602,0,train
kitbash__784d81bbcef8dfa29f568bf3e564da59ffa79b14a0034414271cb6f22a016115,0,train
kitbash__94b3e59a44c1799c841451df2f1ac3ce79200ef869501cc602e6ff524ef49d64,0,train
kitbash__a1763bcf935cb030e763aa9c9b25e6d7ea4db4a1e19b63c1a6c8b2686cbaeff5,2,train
kitbash__a1c4aade8748dee915bcfcd4f527c357db21be636b96a6427247e460b778d30e,0,train
kitbash__f901fd4f652b9e1206681fcd7d497b52f74a2a5c2086d5721d6c93eb91d09d93,0,train
megascan__30afda141c103d99473379813d1199246b88162c961b32c13f7fdb965c6ccc5a,5,train
megascan__38b95b96cbb65be459125a21ecf91d1c4c61f61e59b1a390cf986775d7da9066,5,val
megascan__8b2ecaabd1b82d277a066fc44a7afa2a98a258b52f4dd2eec1aed9abc0365b9b,5,train
megascan__af7e8e2ce53675f8122432c8b382d85eeb96d857c6b7af4cf21b37888824a8d5,5,train
megascan__bd5d6ce5a75fa5125375c373275eac208269d51f1bdcbbfc17fac9775e987eba,5,val
megascan__cdd18a2bdafca5f471d2553b5ec109e8b718ba526cba928845ffeb1ac92a3923,5,train
pbrmax__00327_MD_Relief_9,5,train
pbrmax__15738_md_Box,4,train
pbrmax__Fig_5,5,val
pbrmax__MoonCake_4,5,val
pbrmax__Pipeline,4,train
pbrmax__StrawberryCake_3,5,train
project-aria__Book_1127413910_Grinch,5,train
project-aria__Bottle_Toy_760E1E4F_SqueezeTangyBBQSauce,5,train
project-aria__Football_B0BYZFN2N2_YellowBlack,5,train
project-aria__Spoon_B07CTLJTQC_Yellow,5,train
project-aria__Vase_B085T7KB2J_Black,5,test
project-aria__WoodBlocks_B0B1VJ8L65_OrangeMultiplication,5,train
